timestamp,name,display_name,state,start_mode,start_name,path
2026-08-17 20:44:40,DropboxElevationService,Dropbox Elevation Service (DropboxElevationService),Stopped,Manual,LocalSystem,"""C:\Program Files (x86)\Dropbox\Client\264.4.3421\DropboxElevationService.exe"" --svc --appid={cc46080e-4c33-4981-859a-bba2f780f31e}"
2026-08-17 20:44:40,DropboxUpdaterInternalService123.0.6299.144,DropboxUpdater InternalService 123.0.6299.144 (DropboxUpdaterInternalService123.0.6299.144),Stopped,Auto,LocalSystem,"""C:\Program Files\Dropbox\DropboxUpdater\123.0.6299.144\updater.exe"" --system --windows-service --service=update-internal --enable-logging --vmodule=*/components/winhttp/*=1,*/components/update_client/*=2,*/chrome/updater/*=2"
2026-08-17 20:44:40,DropboxUpdaterService123.0.6299.144,DropboxUpdater Service 123.0.6299.144 (DropboxUpdaterService123.0.6299.144),Stopped,Auto,LocalSystem,"""C:\Program Files\Dropbox\DropboxUpdater\123.0.6299.144\updater.exe"" --system --windows-service --service=update --enable-logging --vmodule=*/components/winhttp/*=1,*/components/update_client/*=2,*/chrome/updater/*=2"
2026-08-17 20:44:40,DsmSvc,Device Setup Manager,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k netsvcs -p
2026-08-17 20:44:40,DsSvc,Data Sharing Service,Stopped,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,DusmSvc,Data Usage,Running,Auto,NT Authority\LocalService,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc
2026-08-17 20:44:40,EapHost,Extensible Authentication Protocol,Stopped,Manual,localSystem,C:\Windows\System32\svchost.exe -k netsvcs -p
2026-08-17 20:44:40,edgeupdate,Microsoft Edge Update Service (edgeupdate),Stopped,Auto,LocalSystem,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc"
2026-08-17 20:44:40,edgeupdatem,Microsoft Edge Update Service (edgeupdatem),Stopped,Manual,LocalSystem,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /medsvc"
2026-08-17 20:44:40,EFS,Encrypting File System (EFS),Stopped,Manual,LocalSystem,C:\Windows\System32\lsass.exe
2026-08-17 20:44:40,embeddedmode,Embedded Mode,Stopped,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,EntAppSvc,Enterprise App Management Service,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k appmodelRedirectionGuard -p
2026-08-17 20:44:40,EventLog,Windows Event Log,Running,Auto,NT AUTHORITY\LocalService,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2026-08-17 20:44:40,EventSystem,COM+ Event System,Running,Auto,NT AUTHORITY\LocalService,C:\Windows\system32\svchost.exe -k LocalServiceRedirectionGuard -p
2026-08-17 20:44:40,fdPHost,Function Discovery Provider Host,Stopped,Manual,NT AUTHORITY\LocalService,C:\Windows\system32\svchost.exe -k LocalService -p
2026-08-17 20:44:40,FDResPub,Function Discovery Resource Publication,Stopped,Manual,NT AUTHORITY\LocalService,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p
2026-08-17 20:44:40,fhsvc,File History Service,Stopped,Manual,LocalSystem,C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p
2026-08-17 20:44:40,FontCache,Windows Font Cache Service,Running,Auto,NT AUTHORITY\LocalService,C:\Windows\system32\svchost.exe -k LocalService -p
2026-08-17 20:44:40,FontCache3.0.0.0,Windows Presentation Foundation Font Cache 3.0.0.0,Stopped,Manual,NT Authority\LocalService,C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe
2026-08-17 20:44:40,FrameServer,Windows Camera Frame Server,Stopped,Manual,NT AUTHORITY\LocalService,C:\Windows\System32\svchost.exe -k Camera
2026-08-17 20:44:40,FrameServerMonitor,Windows Camera Frame Server Monitor,Stopped,Manual,LocalSystem,C:\Windows\System32\svchost.exe -k CameraMonitor
2026-08-17 20:44:40,GameInputSvc,GameInput Service,Stopped,Manual,LocalSystem,C:\Windows\System32\GameInputSvc.exe
2026-08-17 20:44:40,GoogleChromeElevationService,Google Chrome Elevation Service (GoogleChromeElevationService),Stopped,Manual,LocalSystem,"""C:\Program Files\Google\Chrome\Application\151.0.7922.138\elevation_service.exe"""
2026-08-17 20:44:40,GoogleUpdaterInternalService152.0.7933.0,Google Updater Internal Service (GoogleUpdaterInternalService152.0.7933.0),Stopped,Auto,LocalSystem,"""C:\Program Files (x86)\Google\GoogleUpdater\152.0.7933.0\updater.exe"" --system --windows-service --service=update-internal"
