timestamp,pid,ppid,name,path,username,status
2026-08-17 20:44:35,3784,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,3840,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,3948,1504,spoolsv.exe,C:\Windows\System32\spoolsv.exe,,running
2026-08-17 20:44:35,4004,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4012,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4140,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4216,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4228,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running
2026-08-17 20:44:35,4280,8516,BraveCrashHandler64.exe,C:\Program Files (x86)\BraveSoftware\Update\1.3.361.151\BraveCrashHandler64.exe,,running
2026-08-17 20:44:35,4404,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4412,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4428,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4484,1504,OfficeClickToRun.exe,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,,running
2026-08-17 20:44:35,4492,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4504,1504,RtkAudUService64.exe,C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_0c755fff65745edd\RtkAudUService64.exe,,running
2026-08-17 20:44:35,4512,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4528,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4536,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4540,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4556,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4572,1504,MpDefenderCoreService.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MpDefenderCoreService.exe,,running
2026-08-17 20:44:35,4580,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4616,1504,MsMpEng.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MsMpEng.exe,,running
2026-08-17 20:44:35,4624,1504,Sysmon64.exe,C:\Windows\Sysmon64.exe,,running
2026-08-17 20:44:35,4780,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,4812,1504,ipf_uf.exe,C:\Windows\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_7218f3b363a821fe\ipf_uf.exe,,running
2026-08-17 20:44:35,4820,1504,DbxSvc.exe,C:\Windows\System32\DbxSvc.exe,,running
2026-08-17 20:44:35,4828,1504,servicehost.exe,C:\Program Files\McAfee\WebAdvisor\servicehost.exe,,running
2026-08-17 20:44:35,4848,17432,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,VASANTHA\nitin,running
2026-08-17 20:44:35,4856,1504,vmnat.exe,C:\Windows\SysWOW64\vmnat.exe,,running
2026-08-17 20:44:35,4864,1504,jhi_service.exe,C:\Windows\System32\DriverStore\FileRepository\dal.inf_amd64_af50fdb80983f7bc\jhi_service.exe,,running
2026-08-17 20:44:35,4892,1504,ipfsvc.exe,C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_d6f52e3fdecf287d\ipfsvc.exe,,running
2026-08-17 20:44:35,4996,1504,IntelAudioService.exe,C:\Windows\System32\DriverStore\FileRepository\intcoed.inf_amd64_673570ff175bfc85\AS\IAS\IntelAudioService.exe,,running
2026-08-17 20:44:35,5028,1504,WMIRegistrationService.exe,C:\Windows\System32\DriverStore\FileRepository\mewmiprov.inf_amd64_d51901c26227fb29\WMIRegistrationService.exe,,running
2026-08-17 20:44:35,5188,1504,vmnetdhcp.exe,C:\Windows\SysWOW64\vmnetdhcp.exe,,running
2026-08-17 20:44:35,5216,17432,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,VASANTHA\nitin,running
2026-08-17 20:44:35,5240,1700,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,VASANTHA\nitin,running
2026-08-17 20:44:35,5304,1504,vmware-authd.exe,C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe,,running
2026-08-17 20:44:35,5336,1504,vmware-usbarbitrator64.exe,C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe,,running
2026-08-17 20:44:35,5388,1504,svchost.exe,C:\Windows\System32\svchost.exe,VASANTHA\nitin,running
2026-08-17 20:44:35,5404,1504,svchost.exe,C:\Windows\System32\svchost.exe,,running
2026-08-17 20:44:35,5464,8824,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running
2026-08-17 20:44:35,5684,1700,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,,running
2026-08-17 20:44:35,5724,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running
2026-08-17 20:44:35,5788,9420,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running
2026-08-17 20:44:35,5856,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running
