timestamp,severity,pid,ppid,name,path,username,status,reason
2026-08-17 16:35:36,MEDIUM,5336,1504,vmware-usbarbitrator64.exe,C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,5684,1700,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,5724,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,5788,9420,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,5912,9420,Code.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\Code.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,6036,5912,Code.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\Code.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,6288,15256,Code.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\Code.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,6496,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,6504,1700,unsecapp.exe,C:\Windows\System32\wbem\unsecapp.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,6544,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,6708,15900,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,7548,1504,IntelGraphicsSoftware.Service.exe,C:\Program Files\WindowsApps\AppUp.IntelArcSoftware_26.18.2353.0_x64__8j3eq9eme6ctt\VFS\ProgramFilesX64\Intel\Intel Graphics Software\IntelGraphicsSoftware.Service.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,7824,1700,CrossDeviceService.exe,C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26062.105.0_x64__cw5n1h2txyewy\CrossDeviceService.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,7960,5912,Code.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\Code.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
